"year","zone","domain","measure","value"
"2004","S01001832","Health","Quintile",2
"2004","S01001832","Education Skills And Training","Quintile",1
"2009","S01001832","Education Skills And Training","Quintile",1
"2012","S01001832","Health","Quintile",2
"2009","S01001832","Health","Quintile",2
"2006","S01001832","Employment","Quintile",2
"2009","S01001832","SIMD","Quintile",2
"2006","S01001832","Education Skills And Training","Quintile",1
"2004","S01001832","SIMD","Quintile",2
"2009","S01001832","Employment","Quintile",2
"2006","S01001832","SIMD","Quintile",2
"2012","S01001832","Crime","Quintile",1
"2009","S01001832","Crime","Quintile",3
"2012","S01001832","SIMD","Quintile",2
"2012","S01001832","Access To Services","Quintile",3
"2009","S01001832","Access To Services","Quintile",3
"2012","S01001832","Employment","Quintile",2
"2006","S01001832","Crime","Quintile",2
"2006","S01001832","Access To Services","Quintile",2
"2004","S01001832","Access To Services","Quintile",4
"2004","S01001832","Housing","Quintile",1
"2012","S01001833","Access To Services","Rank",1891
"2006","S01001833","Health","Rank",6466
"2009","S01001833","Employment","Rank",6344
"2012","S01001833","Health","Rank",6422
"2006","S01001833","SIMD","Rank",6118
"2006","S01001833","Crime","Rank",4863
"2004","S01001833","Employment","Rank",6141
"2012","S01001833","Crime","Rank",5945
"2004","S01001833","Access To Services","Rank",1239
"2009","S01001833","Health","Rank",6436
"2012","S01001833","Income","Rank",6219
"2004","S01001833","Health","Rank",6395
"2004","S01001833","Income","Rank",6461
"2004","S01001833","SIMD","Rank",6200
"2012","S01001833","Education Skills And Training","Rank",6471
"2009","S01001833","Access To Services","Rank",2098
"2006","S01001833","Income","Rank",5980
"2012","S01001833","Employment","Rank",6302
"2006","S01001833","Housing","Rank",5955
"2012","S01001833","Housing","Rank",5955
"2006","S01001833","Employment","Rank",6235
"2009","S01001833","Crime","Rank",4974
"2006","S01001833","Access To Services","Rank",1472
"2009","S01001833","Education Skills And Training","Rank",6478
"2012","S01001833","SIMD","Rank",6328
"2004","S01001833","Education Skills And Training","Rank",6439
"2009","S01001833","SIMD","Rank",6291
"2009","S01001833","Income","Rank",6116
"2009","S01001833","Housing","Rank",5955
"2006","S01001833","Education Skills And Training","Rank",6423
"2004","S01001833","Housing","Rank",5955
"2006","S01001833","SIMD","Decile",10
"2012","S01001833","Education Skills And Training","Decile",10
"2004","S01001833","Access To Services","Decile",2
"2006","S01001833","Access To Services","Decile",3
"2012","S01001833","Crime","Decile",10
"2009","S01001833","SIMD","Decile",10
"2009","S01001833","Access To Services","Decile",4
"2009","S01001833","Crime","Decile",8
"2012","S01001833","Access To Services","Decile",3
"2006","S01001833","Crime","Decile",8
"2012","S01001833","Employment","Decile",10
"2004","S01001833","Employment","Decile",10
"2006","S01001833","Employment","Decile",10
"2012","S01001833","SIMD","Decile",10
"2004","S01001833","SIMD","Decile",10
"2009","S01001833","Employment","Decile",10
"2012","S01001833","Health","Decile",10
"2004","S01001833","Education Skills And Training","Decile",10
"2006","S01001833","Health","Decile",10
"2006","S01001833","Education Skills And Training","Decile",10
"2009","S01001833","Health","Decile",10
"2009","S01001833","Education Skills And Training","Decile",10
"2004","S01001833","Health","Decile",10
"2006","S01001833","Income","Decile",10
"2004","S01001833","Housing","Decile",10
"2012","S01001833","Housing","Decile",10
"2004","S01001833","Income","Decile",10
"2012","S01001833","Income","Decile",10
"2009","S01001833","Housing","Decile",10
"2006","S01001833","Housing","Decile",10
"2009","S01001833","Income","Decile",10
"2009","S01001833","Education Skills And Training","Vigintile",20
"2012","S01001833","Education Skills And Training","Vigintile",20
"2006","S01001833","Education Skills And Training","Vigintile",20
"2004","S01001833","Education Skills And Training","Vigintile",20
"2009","S01001833","Employment","Vigintile",20
"2004","S01001833","Employment","Vigintile",19
"2006","S01001833","Employment","Vigintile",20
"2012","S01001833","Employment","Vigintile",20
"2004","S01001833","Health","Vigintile",20
"2012","S01001833","Health","Vigintile",20
"2006","S01001833","Health","Vigintile",20
"2009","S01001833","Health","Vigintile",20
"2012","S01001833","Housing","Vigintile",19
"2004","S01001833","Housing","Vigintile",19
"2006","S01001833","Housing","Vigintile",19
"2009","S01001833","Housing","Vigintile",19
"2004","S01001833","Access To Services","Vigintile",4
"2006","S01001833","Access To Services","Vigintile",5
"2009","S01001833","Access To Services","Vigintile",7
"2012","S01001833","Access To Services","Vigintile",6
"2006","S01001833","Crime","Vigintile",15
"2012","S01001833","Crime","Vigintile",19
"2009","S01001833","Crime","Vigintile",16
"2009","S01001833","Income","Vigintile",19
"2006","S01001833","Income","Vigintile",19
"2012","S01001833","Income","Vigintile",20
"2004","S01001833","Income","Vigintile",20
"2012","S01001833","SIMD","Vigintile",20
"2006","S01001833","SIMD","Vigintile",19
"2004","S01001833","SIMD","Vigintile",20
"2009","S01001833","SIMD","Vigintile",20
"2012","S01001833","Housing","Quintile",5
"2004","S01001833","Employment","Quintile",5
"2009","S01001833","Income","Quintile",5
"2006","S01001833","Income","Quintile",5
"2012","S01001833","Income","Quintile",5
"2006","S01001833","Housing","Quintile",5
"2004","S01001833","Income","Quintile",5
"2009","S01001833","Housing","Quintile",5
"2006","S01001833","Health","Quintile",5
"2012","S01001833","Education Skills And Training","Quintile",5
"2004","S01001833","Health","Quintile",5
"2004","S01001833","Education Skills And Training","Quintile",5
"2009","S01001833","Education Skills And Training","Quintile",5
"2012","S01001833","Health","Quintile",5
"2009","S01001833","Health","Quintile",5
"2006","S01001833","Employment","Quintile",5
"2009","S01001833","SIMD","Quintile",5
"2006","S01001833","Education Skills And Training","Quintile",5
"2004","S01001833","SIMD","Quintile",5
"2009","S01001833","Employment","Quintile",5
"2006","S01001833","SIMD","Quintile",5
"2012","S01001833","Crime","Quintile",5
"2009","S01001833","Crime","Quintile",4
"2012","S01001833","SIMD","Quintile",5
"2012","S01001833","Access To Services","Quintile",2
"2009","S01001833","Access To Services","Quintile",2
"2012","S01001833","Employment","Quintile",5
"2006","S01001833","Crime","Quintile",4
"2006","S01001833","Access To Services","Quintile",2
"2004","S01001833","Access To Services","Quintile",1
"2004","S01001833","Housing","Quintile",5
"2012","S01001834","Access To Services","Rank",5485
"2006","S01001834","Health","Rank",3035
"2009","S01001834","Employment","Rank",1987
"2012","S01001834","Health","Rank",2266
"2006","S01001834","SIMD","Rank",2865
"2006","S01001834","Crime","Rank",4283
"2004","S01001834","Employment","Rank",2753
"2012","S01001834","Crime","Rank",4210
"2004","S01001834","Access To Services","Rank",6010
"2009","S01001834","Health","Rank",2491
"2012","S01001834","Income","Rank",2037
"2004","S01001834","Health","Rank",2614
"2004","S01001834","Income","Rank",2353
"2004","S01001834","SIMD","Rank",2559
"2012","S01001834","Education Skills And Training","Rank",2464
"2009","S01001834","Access To Services","Rank",4579
"2006","S01001834","Income","Rank",2749
"2012","S01001834","Employment","Rank",2073
"2006","S01001834","Housing","Rank",1294
"2012","S01001834","Housing","Rank",1294
"2006","S01001834","Employment","Rank",2941
"2009","S01001834","Crime","Rank",5829
"2006","S01001834","Access To Services","Rank",4687
"2009","S01001834","Education Skills And Training","Rank",2396
"2012","S01001834","SIMD","Rank",2383
"2004","S01001834","Education Skills And Training","Rank",1695
"2009","S01001834","SIMD","Rank",2805
"2009","S01001834","Income","Rank",3121
"2009","S01001834","Housing","Rank",1294
"2006","S01001834","Education Skills And Training","Rank",1489
"2004","S01001834","Housing","Rank",1294
"2006","S01001834","SIMD","Decile",5
"2012","S01001834","Education Skills And Training","Decile",4
"2004","S01001834","Access To Services","Decile",10
"2006","S01001834","Access To Services","Decile",8
"2012","S01001834","Crime","Decile",7
"2009","S01001834","SIMD","Decile",5
"2009","S01001834","Access To Services","Decile",8
"2009","S01001834","Crime","Decile",9
"2012","S01001834","Access To Services","Decile",9
"2006","S01001834","Crime","Decile",7
"2012","S01001834","Employment","Decile",4
"2004","S01001834","Employment","Decile",5
"2006","S01001834","Employment","Decile",5
"2012","S01001834","SIMD","Decile",4
"2004","S01001834","SIMD","Decile",4
"2009","S01001834","Employment","Decile",4
"2012","S01001834","Health","Decile",4
"2004","S01001834","Education Skills And Training","Decile",3
"2006","S01001834","Health","Decile",5
"2006","S01001834","Education Skills And Training","Decile",3
"2009","S01001834","Health","Decile",4
"2009","S01001834","Education Skills And Training","Decile",4
"2004","S01001834","Health","Decile",5
"2006","S01001834","Income","Decile",5
"2004","S01001834","Housing","Decile",2
"2012","S01001834","Housing","Decile",2
"2004","S01001834","Income","Decile",4
"2012","S01001834","Income","Decile",4
"2009","S01001834","Housing","Decile",2
"2006","S01001834","Housing","Decile",2
"2009","S01001834","Income","Decile",5
"2009","S01001834","Education Skills And Training","Vigintile",8
"2012","S01001834","Education Skills And Training","Vigintile",8
"2006","S01001834","Education Skills And Training","Vigintile",5
"2004","S01001834","Education Skills And Training","Vigintile",6
"2009","S01001834","Employment","Vigintile",7
"2004","S01001834","Employment","Vigintile",9
"2006","S01001834","Employment","Vigintile",10
"2012","S01001834","Employment","Vigintile",7
"2004","S01001834","Health","Vigintile",9
"2012","S01001834","Health","Vigintile",7
"2006","S01001834","Health","Vigintile",10
"2009","S01001834","Health","Vigintile",8
"2012","S01001834","Housing","Vigintile",4
"2004","S01001834","Housing","Vigintile",4
"2006","S01001834","Housing","Vigintile",4
"2009","S01001834","Housing","Vigintile",4
"2004","S01001834","Access To Services","Vigintile",19
"2006","S01001834","Access To Services","Vigintile",15
"2009","S01001834","Access To Services","Vigintile",15
"2012","S01001834","Access To Services","Vigintile",17
"2006","S01001834","Crime","Vigintile",14
"2012","S01001834","Crime","Vigintile",13
"2009","S01001834","Crime","Vigintile",18
"2009","S01001834","Income","Vigintile",10
"2006","S01001834","Income","Vigintile",9
"2012","S01001834","Income","Vigintile",7
"2004","S01001834","Income","Vigintile",8
"2012","S01001834","SIMD","Vigintile",8
"2006","S01001834","SIMD","Vigintile",9
"2004","S01001834","SIMD","Vigintile",8
"2009","S01001834","SIMD","Vigintile",9
"2012","S01001834","Housing","Quintile",1
"2004","S01001834","Employment","Quintile",3
"2009","S01001834","Income","Quintile",3
"2006","S01001834","Income","Quintile",3
"2012","S01001834","Income","Quintile",2
"2006","S01001834","Housing","Quintile",1
"2004","S01001834","Income","Quintile",2
"2009","S01001834","Housing","Quintile",1
"2006","S01001834","Health","Quintile",3
"2012","S01001834","Education Skills And Training","Quintile",2
"2004","S01001834","Health","Quintile",3
"2004","S01001834","Education Skills And Training","Quintile",2
"2009","S01001834","Education Skills And Training","Quintile",2
"2012","S01001834","Health","Quintile",2
"2009","S01001834","Health","Quintile",2
"2006","S01001834","Employment","Quintile",3
"2009","S01001834","SIMD","Quintile",3
"2006","S01001834","Education Skills And Training","Quintile",2
"2004","S01001834","SIMD","Quintile",2
"2009","S01001834","Employment","Quintile",2
"2006","S01001834","SIMD","Quintile",3
"2012","S01001834","Crime","Quintile",4
"2009","S01001834","Crime","Quintile",5
"2012","S01001834","SIMD","Quintile",2
"2012","S01001834","Access To Services","Quintile",5
"2009","S01001834","Access To Services","Quintile",4
"2012","S01001834","Employment","Quintile",2
"2006","S01001834","Crime","Quintile",4
"2006","S01001834","Access To Services","Quintile",4
"2004","S01001834","Access To Services","Quintile",5
"2004","S01001834","Housing","Quintile",1
"2012","S01001835","Access To Services","Rank",2412
"2006","S01001835","Health","Rank",5630
"2009","S01001835","Employment","Rank",6237
"2012","S01001835","Health","Rank",6458
"2006","S01001835","SIMD","Rank",6292
"2006","S01001835","Crime","Rank",5350
"2004","S01001835","Employment","Rank",6292
"2012","S01001835","Crime","Rank",4928
"2004","S01001835","Access To Services","Rank",2778
"2009","S01001835","Health","Rank",6391
"2012","S01001835","Income","Rank",6005
"2004","S01001835","Health","Rank",5894
"2004","S01001835","Income","Rank",6112
"2004","S01001835","SIMD","Rank",6279
"2012","S01001835","Education Skills And Training","Rank",5964
"2009","S01001835","Access To Services","Rank",3035
"2006","S01001835","Income","Rank",6266
"2012","S01001835","Employment","Rank",6173
"2006","S01001835","Housing","Rank",4985
"2012","S01001835","Housing","Rank",4985
"2006","S01001835","Employment","Rank",6187
"2009","S01001835","Crime","Rank",6294
"2006","S01001835","Access To Services","Rank",2760
"2009","S01001835","Education Skills And Training","Rank",5732
"2012","S01001835","SIMD","Rank",6259
"2004","S01001835","Education Skills And Training","Rank",5492
"2009","S01001835","SIMD","Rank",6343
"2009","S01001835","Income","Rank",6034
"2009","S01001835","Housing","Rank",4985
"2006","S01001835","Education Skills And Training","Rank",5854
"2004","S01001835","Housing","Rank",4985
"2006","S01001835","SIMD","Decile",10
"2012","S01001835","Education Skills And Training","Decile",10
"2004","S01001835","Access To Services","Decile",5
"2006","S01001835","Access To Services","Decile",5
"2012","S01001835","Crime","Decile",8
"2009","S01001835","SIMD","Decile",10
"2009","S01001835","Access To Services","Decile",5
"2009","S01001835","Crime","Decile",10
"2012","S01001835","Access To Services","Decile",4
"2006","S01001835","Crime","Decile",9
"2012","S01001835","Employment","Decile",10
"2004","S01001835","Employment","Decile",10
"2006","S01001835","Employment","Decile",10
"2012","S01001835","SIMD","Decile",10
"2004","S01001835","SIMD","Decile",10
"2009","S01001835","Employment","Decile",10
"2012","S01001835","Health","Decile",10
"2004","S01001835","Education Skills And Training","Decile",9
"2006","S01001835","Health","Decile",9
"2006","S01001835","Education Skills And Training","Decile",9
"2009","S01001835","Health","Decile",10
"2009","S01001835","Education Skills And Training","Decile",9
"2004","S01001835","Health","Decile",10
"2006","S01001835","Income","Decile",10
"2004","S01001835","Housing","Decile",8
"2012","S01001835","Housing","Decile",8
"2004","S01001835","Income","Decile",10
"2012","S01001835","Income","Decile",10
"2009","S01001835","Housing","Decile",8
"2006","S01001835","Housing","Decile",8
"2009","S01001835","Income","Decile",10
"2009","S01001835","Education Skills And Training","Vigintile",18
"2012","S01001835","Education Skills And Training","Vigintile",19
"2006","S01001835","Education Skills And Training","Vigintile",18
"2004","S01001835","Education Skills And Training","Vigintile",17
"2009","S01001835","Employment","Vigintile",20
"2004","S01001835","Employment","Vigintile",20
"2006","S01001835","Employment","Vigintile",20
"2012","S01001835","Employment","Vigintile",19
"2004","S01001835","Health","Vigintile",19
"2012","S01001835","Health","Vigintile",20
"2006","S01001835","Health","Vigintile",18
"2009","S01001835","Health","Vigintile",20
"2012","S01001835","Housing","Vigintile",16
"2004","S01001835","Housing","Vigintile",16
"2006","S01001835","Housing","Vigintile",16
"2009","S01001835","Housing","Vigintile",16
"2004","S01001835","Access To Services","Vigintile",9
"2006","S01001835","Access To Services","Vigintile",9
"2009","S01001835","Access To Services","Vigintile",10
"2012","S01001835","Access To Services","Vigintile",8
"2006","S01001835","Crime","Vigintile",17
"2012","S01001835","Crime","Vigintile",16
"2009","S01001835","Crime","Vigintile",20
"2009","S01001835","Income","Vigintile",19
"2006","S01001835","Income","Vigintile",20
"2012","S01001835","Income","Vigintile",19
"2004","S01001835","Income","Vigintile",19
"2012","S01001835","SIMD","Vigintile",20
"2006","S01001835","SIMD","Vigintile",20
"2004","S01001835","SIMD","Vigintile",20
"2009","S01001835","SIMD","Vigintile",20
"2012","S01001835","Housing","Quintile",4
"2004","S01001835","Employment","Quintile",5
"2009","S01001835","Income","Quintile",5
"2006","S01001835","Income","Quintile",5
"2012","S01001835","Income","Quintile",5
"2006","S01001835","Housing","Quintile",4
"2004","S01001835","Income","Quintile",5
"2009","S01001835","Housing","Quintile",4
"2006","S01001835","Health","Quintile",5
"2012","S01001835","Education Skills And Training","Quintile",5
"2004","S01001835","Health","Quintile",5
"2004","S01001835","Education Skills And Training","Quintile",5
"2009","S01001835","Education Skills And Training","Quintile",5
"2012","S01001835","Health","Quintile",5
"2009","S01001835","Health","Quintile",5
"2006","S01001835","Employment","Quintile",5
"2009","S01001835","SIMD","Quintile",5
"2006","S01001835","Education Skills And Training","Quintile",5
"2004","S01001835","SIMD","Quintile",5
"2009","S01001835","Employment","Quintile",5
"2006","S01001835","SIMD","Quintile",5
"2012","S01001835","Crime","Quintile",4
"2009","S01001835","Crime","Quintile",5
"2012","S01001835","SIMD","Quintile",5
"2012","S01001835","Access To Services","Quintile",2
"2009","S01001835","Access To Services","Quintile",3
"2012","S01001835","Employment","Quintile",5
"2006","S01001835","Crime","Quintile",5
"2006","S01001835","Access To Services","Quintile",3
"2004","S01001835","Access To Services","Quintile",3
"2004","S01001835","Housing","Quintile",4
"2012","S01001836","Access To Services","Rank",1199
"2006","S01001836","Health","Rank",5453
"2009","S01001836","Employment","Rank",5619
"2012","S01001836","Health","Rank",5635
"2006","S01001836","SIMD","Rank",5878
"2006","S01001836","Crime","Rank",4123
"2004","S01001836","Employment","Rank",5665
"2012","S01001836","Crime","Rank",3526
"2004","S01001836","Access To Services","Rank",2204
"2009","S01001836","Health","Rank",5988
"2012","S01001836","Income","Rank",5971
"2004","S01001836","Health","Rank",5760
"2004","S01001836","Income","Rank",5581
"2004","S01001836","SIMD","Rank",5959
"2012","S01001836","Education Skills And Training","Rank",6143
"2009","S01001836","Access To Services","Rank",3240
"2006","S01001836","Income","Rank",5907
"2012","S01001836","Employment","Rank",5813
"2006","S01001836","Housing","Rank",5166
"2012","S01001836","Housing","Rank",5166
"2006","S01001836","Employment","Rank",5385
"2009","S01001836","Crime","Rank",3847
"2006","S01001836","Access To Services","Rank",2643
"2009","S01001836","Education Skills And Training","Rank",5901
"2012","S01001836","SIMD","Rank",5655
"2004","S01001836","Education Skills And Training","Rank",6105
"2009","S01001836","SIMD","Rank",6066
"2009","S01001836","Income","Rank",5856
"2009","S01001836","Housing","Rank",5166
"2006","S01001836","Education Skills And Training","Rank",5588
"2004","S01001836","Housing","Rank",5166
"2006","S01001836","SIMD","Decile",10
"2012","S01001836","Education Skills And Training","Decile",10
"2004","S01001836","Access To Services","Decile",4
"2006","S01001836","Access To Services","Decile",5
"2012","S01001836","Crime","Decile",6
"2009","S01001836","SIMD","Decile",10
"2009","S01001836","Access To Services","Decile",5
"2009","S01001836","Crime","Decile",6
"2012","S01001836","Access To Services","Decile",2
"2006","S01001836","Crime","Decile",7
"2012","S01001836","Employment","Decile",9
"2004","S01001836","Employment","Decile",9
"2006","S01001836","Employment","Decile",9
"2012","S01001836","SIMD","Decile",9
"2004","S01001836","SIMD","Decile",10
"2009","S01001836","Employment","Decile",9
"2012","S01001836","Health","Decile",9
"2004","S01001836","Education Skills And Training","Decile",10
"2006","S01001836","Health","Decile",9
"2006","S01001836","Education Skills And Training","Decile",9
"2009","S01001836","Health","Decile",10
"2009","S01001836","Education Skills And Training","Decile",10
"2004","S01001836","Health","Decile",9
"2006","S01001836","Income","Decile",10
"2004","S01001836","Housing","Decile",8
"2012","S01001836","Housing","Decile",8
"2004","S01001836","Income","Decile",9
"2012","S01001836","Income","Decile",10
"2009","S01001836","Housing","Decile",8
"2006","S01001836","Housing","Decile",8
"2009","S01001836","Income","Decile",10
"2009","S01001836","Education Skills And Training","Vigintile",19
"2012","S01001836","Education Skills And Training","Vigintile",19
"2006","S01001836","Education Skills And Training","Vigintile",18
"2004","S01001836","Education Skills And Training","Vigintile",19
"2009","S01001836","Employment","Vigintile",18
"2004","S01001836","Employment","Vigintile",18
"2006","S01001836","Employment","Vigintile",17
"2012","S01001836","Employment","Vigintile",18
"2004","S01001836","Health","Vigintile",18
"2012","S01001836","Health","Vigintile",18
"2006","S01001836","Health","Vigintile",17
"2009","S01001836","Health","Vigintile",19
"2012","S01001836","Housing","Vigintile",16
"2004","S01001836","Housing","Vigintile",16
"2006","S01001836","Housing","Vigintile",16
"2009","S01001836","Housing","Vigintile",16
"2004","S01001836","Access To Services","Vigintile",7
"2006","S01001836","Access To Services","Vigintile",9
"2009","S01001836","Access To Services","Vigintile",10
"2012","S01001836","Access To Services","Vigintile",4
"2006","S01001836","Crime","Vigintile",13
"2012","S01001836","Crime","Vigintile",11
"2009","S01001836","Crime","Vigintile",12
"2009","S01001836","Income","Vigintile",19
"2006","S01001836","Income","Vigintile",19
"2012","S01001836","Income","Vigintile",19
"2004","S01001836","Income","Vigintile",18
"2012","S01001836","SIMD","Vigintile",18
"2006","S01001836","SIMD","Vigintile",19
"2004","S01001836","SIMD","Vigintile",19
"2009","S01001836","SIMD","Vigintile",19
"2012","S01001836","Housing","Quintile",4
"2004","S01001836","Employment","Quintile",5
"2009","S01001836","Income","Quintile",5
"2006","S01001836","Income","Quintile",5
"2012","S01001836","Income","Quintile",5
"2006","S01001836","Housing","Quintile",4
"2004","S01001836","Income","Quintile",5
"2009","S01001836","Housing","Quintile",4
"2006","S01001836","Health","Quintile",5
"2012","S01001836","Education Skills And Training","Quintile",5
"2004","S01001836","Health","Quintile",5
"2004","S01001836","Education Skills And Training","Quintile",5
"2009","S01001836","Education Skills And Training","Quintile",5
"2012","S01001836","Health","Quintile",5
"2009","S01001836","Health","Quintile",5
"2006","S01001836","Employment","Quintile",5
"2009","S01001836","SIMD","Quintile",5
"2006","S01001836","Education Skills And Training","Quintile",5
"2004","S01001836","SIMD","Quintile",5
"2009","S01001836","Employment","Quintile",5
"2006","S01001836","SIMD","Quintile",5
"2012","S01001836","Crime","Quintile",3
"2009","S01001836","Crime","Quintile",3
"2012","S01001836","SIMD","Quintile",5
"2012","S01001836","Access To Services","Quintile",1
"2009","S01001836","Access To Services","Quintile",3
"2012","S01001836","Employment","Quintile",5
"2006","S01001836","Crime","Quintile",4
"2006","S01001836","Access To Services","Quintile",3
"2004","S01001836","Access To Services","Quintile",2
"2004","S01001836","Housing","Quintile",4
"2012","S01001837","Access To Services","Rank",3465
"2006","S01001837","Health","Rank",6306
"2009","S01001837","Employment","Rank",6320
"2012","S01001837","Health","Rank",6330
"2006","S01001837","SIMD","Rank",6420
"2006","S01001837","Crime","Rank",2388
"2004","S01001837","Employment","Rank",6369
"2012","S01001837","Crime","Rank",4034
"2004","S01001837","Access To Services","Rank",4268
"2009","S01001837","Health","Rank",6247
"2012","S01001837","Income","Rank",5742
"2004","S01001837","Health","Rank",6248
"2004","S01001837","Income","Rank",6389
"2004","S01001837","SIMD","Rank",6493
"2012","S01001837","Education Skills And Training","Rank",6220
"2009","S01001837","Access To Services","Rank",4389
"2006","S01001837","Income","Rank",6425
"2012","S01001837","Employment","Rank",6022
"2006","S01001837","Housing","Rank",6065
"2012","S01001837","Housing","Rank",6065
"2006","S01001837","Employment","Rank",6364
"2009","S01001837","Crime","Rank",4718
"2006","S01001837","Access To Services","Rank",3979
"2009","S01001837","Education Skills And Training","Rank",6228
"2012","S01001837","SIMD","Rank",6292
"2004","S01001837","Education Skills And Training","Rank",6271
"2009","S01001837","SIMD","Rank",6475
"2009","S01001837","Income","Rank",6313
"2009","S01001837","Housing","Rank",6065
"2006","S01001837","Education Skills And Training","Rank",6283
"2004","S01001837","Housing","Rank",6065
"2006","S01001837","SIMD","Decile",10
"2012","S01001837","Education Skills And Training","Decile",10
"2004","S01001837","Access To Services","Decile",7
"2006","S01001837","Access To Services","Decile",7
"2012","S01001837","Crime","Decile",7
"2009","S01001837","SIMD","Decile",10
"2009","S01001837","Access To Services","Decile",7
"2009","S01001837","Crime","Decile",8
"2012","S01001837","Access To Services","Decile",6
"2006","S01001837","Crime","Decile",4
"2012","S01001837","Employment","Decile",10
"2004","S01001837","Employment","Decile",10
"2006","S01001837","Employment","Decile",10
"2012","S01001837","SIMD","Decile",10
"2004","S01001837","SIMD","Decile",10
"2009","S01001837","Employment","Decile",10
"2012","S01001837","Health","Decile",10
"2004","S01001837","Education Skills And Training","Decile",10
"2006","S01001837","Health","Decile",10
"2006","S01001837","Education Skills And Training","Decile",10
"2009","S01001837","Health","Decile",10
"2009","S01001837","Education Skills And Training","Decile",10
"2004","S01001837","Health","Decile",10
"2006","S01001837","Income","Decile",10
"2004","S01001837","Housing","Decile",10
"2012","S01001837","Housing","Decile",10
"2004","S01001837","Income","Decile",10
"2012","S01001837","Income","Decile",9
"2009","S01001837","Housing","Decile",10
"2006","S01001837","Housing","Decile",10
"2009","S01001837","Income","Decile",10
"2009","S01001837","Education Skills And Training","Vigintile",20
"2012","S01001837","Education Skills And Training","Vigintile",20
"2006","S01001837","Education Skills And Training","Vigintile",20
"2004","S01001837","Education Skills And Training","Vigintile",20
"2009","S01001837","Employment","Vigintile",20
"2004","S01001837","Employment","Vigintile",20
"2006","S01001837","Employment","Vigintile",20
"2012","S01001837","Employment","Vigintile",19
"2004","S01001837","Health","Vigintile",20
"2012","S01001837","Health","Vigintile",20
"2006","S01001837","Health","Vigintile",20
"2009","S01001837","Health","Vigintile",20
"2012","S01001837","Housing","Vigintile",19
"2004","S01001837","Housing","Vigintile",19
"2006","S01001837","Housing","Vigintile",19
"2009","S01001837","Housing","Vigintile",19
"2004","S01001837","Access To Services","Vigintile",14
"2006","S01001837","Access To Services","Vigintile",13
"2009","S01001837","Access To Services","Vigintile",14
"2012","S01001837","Access To Services","Vigintile",11
"2006","S01001837","Crime","Vigintile",8
"2012","S01001837","Crime","Vigintile",13
"2009","S01001837","Crime","Vigintile",15
"2009","S01001837","Income","Vigintile",20
"2006","S01001837","Income","Vigintile",20
"2012","S01001837","Income","Vigintile",18
"2004","S01001837","Income","Vigintile",20
"2012","S01001837","SIMD","Vigintile",20
"2006","S01001837","SIMD","Vigintile",20
"2004","S01001837","SIMD","Vigintile",20
"2009","S01001837","SIMD","Vigintile",20
"2012","S01001837","Housing","Quintile",5
"2004","S01001837","Employment","Quintile",5
"2009","S01001837","Income","Quintile",5
"2006","S01001837","Income","Quintile",5
"2012","S01001837","Income","Quintile",5
"2006","S01001837","Housing","Quintile",5
"2004","S01001837","Income","Quintile",5
"2009","S01001837","Housing","Quintile",5
"2006","S01001837","Health","Quintile",5
"2012","S01001837","Education Skills And Training","Quintile",5
"2004","S01001837","Health","Quintile",5
"2004","S01001837","Education Skills And Training","Quintile",5
"2009","S01001837","Education Skills And Training","Quintile",5
"2012","S01001837","Health","Quintile",5
"2009","S01001837","Health","Quintile",5
"2006","S01001837","Employment","Quintile",5
"2009","S01001837","SIMD","Quintile",5
"2006","S01001837","Education Skills And Training","Quintile",5
"2004","S01001837","SIMD","Quintile",5
"2009","S01001837","Employment","Quintile",5
"2006","S01001837","SIMD","Quintile",5
"2012","S01001837","Crime","Quintile",4
"2009","S01001837","Crime","Quintile",4
"2012","S01001837","SIMD","Quintile",5
"2012","S01001837","Access To Services","Quintile",3
"2009","S01001837","Access To Services","Quintile",4
"2012","S01001837","Employment","Quintile",5
"2006","S01001837","Crime","Quintile",2
"2006","S01001837","Access To Services","Quintile",4
"2004","S01001837","Access To Services","Quintile",4
"2004","S01001837","Housing","Quintile",5
"2012","S01001838","Access To Services","Rank",3147
"2006","S01001838","Health","Rank",3543
"2009","S01001838","Employment","Rank",2681
"2012","S01001838","Health","Rank",3908
"2006","S01001838","SIMD","Rank",2735
"2006","S01001838","Crime","Rank",4388
"2004","S01001838","Employment","Rank",3516
"2012","S01001838","Crime","Rank",2980
"2004","S01001838","Access To Services","Rank",2961
"2009","S01001838","Health","Rank",3893
"2012","S01001838","Income","Rank",2136
"2004","S01001838","Health","Rank",2770
"2004","S01001838","Income","Rank",2479
"2004","S01001838","SIMD","Rank",2249
"2012","S01001838","Education Skills And Training","Rank",1319
"2009","S01001838","Access To Services","Rank",2941
"2006","S01001838","Income","Rank",2630
"2012","S01001838","Employment","Rank",2637
"2006","S01001838","Housing","Rank",1245
"2012","S01001838","Housing","Rank",1245
"2006","S01001838","Employment","Rank",3080
"2009","S01001838","Crime","Rank",3871
"2006","S01001838","Access To Services","Rank",2699
"2009","S01001838","Education Skills And Training","Rank",1463
"2012","S01001838","SIMD","Rank",2390
"2004","S01001838","Education Skills And Training","Rank",633
"2009","S01001838","SIMD","Rank",2394
"2009","S01001838","Income","Rank",1879
"2009","S01001838","Housing","Rank",1245
"2006","S01001838","Education Skills And Training","Rank",1401
"2004","S01001838","Housing","Rank",1245
